feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
EC.1.3.1.31	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	3.09697937454528e-05	6.91149646308725e-06	30	12	0.000114452538988075	0.0895791164652413
EC.2.7.13.1	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	3.0302416846192e-05	7.13327622257091e-06	30	5	0.000215379100623283	0.0895791164652413
EC.2.7.7.83	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	3.19385651015371e-05	7.01089805955904e-06	30	13	9.33917413106613e-05	0.0895791164652413
EC.4.2.1.22	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	0.000115042834517305	2.70865961103124e-05	30	29	0.000215853292687329	0.0895791164652413
EC.1.12.1.2	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	4.74428135322048e-05	1.37540094308398e-05	30	5	0.00179779442312578	0.157770053700835
EC.1.14.13.59	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	2.68881751593649e-05	8.05801847805011e-06	30	7	0.00240289982614042	0.157770053700835
EC.1.5.1.3	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	-2.71397707956389e-05	7.66633156954266e-06	30	30	0.00142003342957598	0.157770053700835
EC.2.1.1.152	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	5.92267405084952e-05	1.62244975891335e-05	30	21	0.00106366346975892	0.157770053700835
EC.2.1.1.34	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	8.55098829817162e-05	2.37235406014333e-05	30	29	0.0012002479123962	0.157770053700835
EC.2.1.1.45	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	-2.61740739550062e-05	7.91856929300088e-06	30	30	0.00260422024508367	0.157770053700835
EC.2.3.1.28	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	3.75211418767624e-05	1.07811295332187e-05	30	14	0.00165944306720681	0.157770053700835
EC.2.4.2.8	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	-3.84416208252361e-05	1.17949884861815e-05	30	30	0.00293043949525757	0.157770053700835
EC.2.5.1.10	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	-1.69839261093028e-05	4.9288661191986e-06	30	30	0.00181450398551984	0.157770053700835
EC.2.5.1.46	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	8.58818231403257e-05	2.32856454328804e-05	30	29	0.000963073381211634	0.157770053700835
EC.2.6.1.37	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	5.39904619371662e-05	1.63507029794911e-05	30	23	0.00262680550584148	0.157770053700835
EC.2.7.2.1	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	-6.62590681457314e-05	1.88896499100662e-05	30	30	0.00154524262461357	0.157770053700835
EC.2.7.7.6	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	-4.76054480749351e-05	1.4619626054854e-05	30	30	0.00295199108489501	0.157770053700835
EC.2.8.3.18	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	9.90268580919713e-05	2.9374253589494e-05	30	27	0.00219974181491898	0.157770053700835
EC.3.1.11.6	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	-6.08422808797243e-05	1.62668634911771e-05	30	30	0.000839365249992833	0.157770053700835
EC.3.2.1.123	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	4.08316206400705e-05	1.1885716186884e-05	30	10	0.00186427480393093	0.157770053700835
EC.3.2.2.27	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	-4.15745415321285e-05	1.19249610808538e-05	30	30	0.00163342302827691	0.157770053700835
EC.3.5.1.26	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	5.67871769463415e-05	1.58397372945763e-05	30	8	0.00126255610610124	0.157770053700835
EC.3.5.99.5	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	2.29330721889389e-05	7.02241163510535e-06	30	5	0.00288197411182291	0.157770053700835
EC.4.1.1.82	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	4.58758588902286e-05	1.38756440804325e-05	30	22	0.00259882954211301	0.157770053700835
EC.4.2.1.11	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	-2.22762160941219e-05	6.86574367460582e-06	30	30	0.00304135043278718	0.157770053700835
EC.5.1.3.7	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	5.8039900091567e-05	1.71468357229785e-05	30	29	0.00212372262656376	0.157770053700835
EC.5.4.2.9	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	4.57953281426279e-05	1.39883437858494e-05	30	22	0.00282292872019024	0.157770053700835
EC.6.1.1.21	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	-2.55344221757928e-05	6.82756940035117e-06	30	30	0.00084016379239503	0.157770053700835
EC.6.1.1.3	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	-2.24468779738414e-05	6.61139376289679e-06	30	30	0.00206806648454434	0.157770053700835
EC.6.3.2.31	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	4.05811266506848e-05	1.23056424746261e-05	30	11	0.0026555693118334	0.157770053700835
EC.6.3.2.34	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	4.08545037125773e-05	1.20099477840703e-05	30	11	0.00203347500243528	0.157770053700835
EC.6.5.1.3	Total_Number_of_Months_Followed_or_to_Progression	Total_Number_of_Months_Followed_or_to_Progression	9.23267515031806e-05	2.76871584852052e-05	30	27	0.00241637398884188	0.157770053700835
